Power_network_size,cluster_method,Base_Year,Dispatch_Year,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,copper_plate?,CCS-allowed?,MI-gap(%),Run time(sec),dis_scen,expansion_allowed,Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,e-shed-cost,storage1-cost,tran-est-cost,trans_FOM,CCS-cost,emission_e,num-est-tran,total-str1-lev,total-str1-cap,num-est-str1,total-flow,NG-cost,NG-import-cost,LCDF-import-cost,inv-storage,FOM-storage,g-shed-cost,pipe-est-cost,pipe_FOM,pipe_Dec_cost,emission_g,num-est-pipe,num_decom_pipe,num_operational_pipe,total-ng-shed,total-LCDF-import,total-flowGE,total-flowGL,Production:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
17,Representative_Days,2020,2020,10,4,Historical,0,0,1,TRUE,1,0,1,0.089464022,157.562701,Scen_0,0,7928920824,1771693726,0,10905981.83,1126330581,369226486.6,245258514.7,2891891938,19972162.62,0,0,0,0,0,28122985.82,0,0,0,0,14285128.05,6157227098,5639957498,0,0,505800000,0,0,11469600,0,26724307.28,0,19,17,0,0,530622374,0,Production:,60991077.47,1052178.39,4649218.96,22958436.66,32135549.61,0,0,0,0,0,0,0,established:,0,0,0,0,0,0,0,0,0,0,0,0,decommissioned:,21.81196366,4.44E-16,0,23.26666667,0,0,0,0,0,0,0,0
17,Representative_Days,2020,2020,2,4,Historical,0,0,1,TRUE,1,0,1,0.084645239,22.64194632,Scen_0,0,8054258699,1728910878,0,17781300.84,1086769995,385324302.9,239035279.2,3060012662,0,0,0,0,0,0,29757921.3,0,0,0,0,2876372.8,6325347821,5808078221,0,0,505800000,0,0,11469600,0,26724307.28,0,19,17,0,0,561470213.2,0,Production:,64536806.11,1326111.651,4465686.768,22959960,31320136.16,0,0,0,0,0,0,0,established:,0,0,0,0,0,0,0,0,0,0,0,0,decommissioned:,35.56260169,0,0,23.26666667,0,0,0,0,0,0,0,0
17,Representative_Days,2020,2020,5,4,Historical,0,0,1,TRUE,1,0,1,0.088080828,50.87493587,Scen_0,0,7985682048,1730071803,0,17781300.84,1086769995,379738386,245782120.8,2990275086,0,0,0,0,0,0,29079739.37,0,0,0,0,7168709.601,6255610246,5738340646,0,0,505800000,0,0,11469600,0,26724307.28,0,19,17,0,0,548674327.7,0,Production:,63066014.68,1425663.658,4978113.628,22959960,32204156.29,0,0,0,0,0,0,0,established:,0,0,0,0,0,0,0,0,0,0,0,0,decommissioned:,35.56260169,0,-4.44E-16,23.26666667,0,0,0,0,0,0,0,0
17,Representative_Days,2020,2020,2,4,Historical,0,0,1,TRUE,1,0,1,0.086394565,17.64314508,Scen_0,0,8017523006,1824106274,0,0,1216305600,370862395.5,236938278.7,2928081572,0,0,0,0,0,0,28474921.71,0,0,0,0,2845468.318,6193416732,5676147132,0,0,505800000,0,0,11469600,0,26724307.28,0,19,17,0,0,537262673.8,0,Production:,61754330.32,1326111.651,4465686.768,26017200,31045371.95,0,0,0,0,0,0,0,established:,0,0,0,0,0,0,0,0,0,0,0,0,decommissioned:,0,0,0,0,0,0,0,0,0,0,0,0
17,Representative_Days,2020,2020,5,4,Historical,0,0,1,TRUE,1,0,1,0.089851997,35.07478738,Scen_0,0,7947460611,1825428056,0,0,1216305600,365172296.3,243950160.1,2856697395,0,0,0,0,0,0,27780726.96,0,0,0,0,7084071.156,6122032555,5604762955,0,0,505800000,0,0,11469600,0,26724307.28,0,19,17,0,0,524164659.7,0,Production:,60248811.46,1425663.658,4978113.628,26017200,31964119.51,0,0,0,0,0,0,0,established:,0,0,0,0,0,0,0,0,0,0,0,0,decommissioned:,0,0,0,0,0,0,0,0,0,0,0,0
17,Representative_Days,2020,2020,5,4,Historical,0,0,1,TRUE,1,0,1,0.089851997,27.44392419,Scen_0,0,7947460611,1825428056,0,0,1216305600,365172296.3,243950160.1,2856697395,0,0,0,0,0,0,27780726.96,0,0,0,0,18160320.98,6122032555,5604762955,0,0,505800000,0,0,11469600,0,26724307.28,0,19,17,0,0,524164659.7,0,Production:,60248811.46,1425663.658,4978113.628,26017200,31964119.51,0,0,0,0,0,0,0,established:,0,0,0,0,0,0,0,0,0,0,0,0,decommissioned:,0,0,0,0,0,0,0,0,0,0,0,0
17,Representative_Days,2020,2020,5,4,Historical,0,0,1,TRUE,1,0,1,0,22.031183,Scen_0,0,7964783811,1825428056,0,0,1216305600,365172296.3,243950160.1,2856697395,0,0,0,0,0,0,27780726.96,0,0,0,0,17942200.41,6139355755,5604762955,0,0,505800000,0,0,28792800,0,26724307.28,0,0,36,0,0,524164659.7,0,Production:,60248811.46,1425663.658,4978113.628,26017200,31964119.51,0,0,0,0,0,0,0,established:,0,0,0,0,0,0,0,0,0,0,0,0,decommissioned:,0,0,0,0,0,0,0,0,0,0,0,0
17,Representative_Days,2020,2020,5,4,Historical,0,0,1,TRUE,1,0,1,0,16.79230666,Scen_0,0,7964783811,1825428056,0,0,1216305600,365172296.3,243950160.1,2856697395,0,0,0,0,0,0,27780726.96,0,0,0,0,17977808.88,6139355755,5604762955,0,0,505800000,0,0,28792800,0,26724307.28,0,0,0,0,0,524164659.7,0,Production:,60248811.46,1425663.658,4978113.628,26017200,31964119.51,0,0,0,0,0,0,0,established:,0,0,0,0,0,0,0,0,0,0,0,0,decommissioned:,0,0,0,0,0,0,0,0,0,0,0,0
17,Representative_Days,2020,2020,5,4,Historical,0,0,1,TRUE,1,0,1,0,28.61441374,Scen_0,0,7964783811,1825428056,0,0,1216305600,365172296.3,243950160.1,2856697395,0,0,0,0,0,0,27780726.96,0,0,0,0,17989071.68,6139355755,5604762955,0,0,505800000,0,0,28792800,0,26724307.28,0,0,0,0,0,524164659.7,0,Production:,60248811.46,1425663.658,4978113.628,26017200,31964119.51,0,0,0,0,0,0,0,established:,0,0,0,0,0,0,0,0,0,0,0,0,decommissioned:,0,0,0,0,0,0,0,0,0,0,0,0
17,Representative_Days,2020,2020,5,4,Historical,0,0.0,1,True,1,0,1,0,17.245826482772827,Scen_0,0,7964783811.38497,1825428056.4108634,0.0,0.0,1216305600.0,365172296.31639594,243950160.09448093,2856697395.3562493,0.0,0.0,0.0,0.0,0.0,0.0,27780726.964014787,0,0.0,0.0,0,17989071.684416078,6139355754.974106,5604762954.974109,0.0,0.0,505800000.0,0.0,0.0,28792800.0,0.0,26724307.277017873,0,0,0,0.0,0.0,524164659.6983859,0.0,Production:,60248811.45958547,1425663.6583873008,4978113.627774138,26017200.0,31964119.509234715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Representative_Days,2020,2020,10,4,Historical,0,0.0,1,True,1,0,1,0,29.86155605316162,Scen_0,0,7875034341.098785,1839889335.3574362,0.0,0.0,1216305600.0,354309498.0079609,244432575.6008226,2752486646.123488,24841661.748640835,0.0,0.0,0.0,0.0,0.0,26767301.329274237,0,0.0,0.0,0,36008029.00337271,6035145005.741349,5500552205.741349,0.0,0.0,505800000.0,0.0,0.0,28792800.0,0.0,26724307.277017873,0,0,0,0.0,0.0,505043421.30705965,0.0,Production:,58050967.96632893,1052178.3902646988,4646238.525348118,26009747.11940024,32027329.088157967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Representative_Days,2020,2020,40,4,Historical,0,0.0,1,True,1,0,1,0,93.0999755859375,Scen_0,0,7770948517.826202,1833915732.7925656,0.0,0.0,1216305600.0,344212371.0100609,245382718.71117985,2654374425.4157743,28015043.07130805,0.0,0.0,0.0,0.0,0.0,25813182.485694554,0,0.0,0.0,0,143492930.10927963,5937032785.033637,5402439985.033642,0.0,0.0,505800000.0,0.0,0.0,28792800.0,0.0,26724307.277017873,0,0,0,0.0,0.0,487041178.9753686,0.0,Production:,55981744.70981311,1147097.5254054866,4686308.203778551,26017200.0,32151823.7305007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Representative_Days,2020,2020,100,4,Historical,0,0.0,1,True,1,0,1,0,220.87014245986938,Scen_0,0,7443470936.992702,1781316586.6317863,0.0,0.0,1216305600.0,315120331.90162146,244979762.23250803,2379495990.743028,4910892.497669829,0.0,0.0,0.0,0.0,0.0,23140052.754014827,0,0.0,0.0,0,360142831.1751841,5662154350.360915,5127561550.360914,0.0,0.0,505800000.0,0.0,0.0,28792800.0,0.0,26724307.277017873,0,0,0,0.0,0.0,436604768.94367725,0.0,Production:,50184456.20042442,651046.8008542546,5162277.76182717,26016309.21336514,32099025.449748553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Representative_Days,2020,2020,365,4,Historical,0,0.0,1,True,1,0,1,0,1751.9005382061005,Scen_0,0,7703843526.972677,2195642805.1420302,0.0,0.0,1216305600.0,299273415.26617366,246459530.8475603,2225542362.2128954,10750338.814341182,0.0,422853920.2153231,0.0,0.0,0.0,21642889.02702321,0,22368.1639006644,1617.6934600738805,17,1310387071.9007986,5508200721.830647,4973607921.830641,0.0,0.0,505800000.0,0.0,0.0,28792800.0,0.0,26724307.277017873,0,0,0,0.0,0.0,408356396.73628694,0.0,Production:,46937516.8662521,1004321.6990928092,4732482.828207631,26015339.864449073,32292915.467466153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Representative_Days,2020,2020,2,4,Historical,0,0.0,1,True,1,0,1,0,7.607319593429565,Scen_0,0,8034846206.089033,1824106274.2289555,0.0,0.0,1216305600.0,370862395.51133704,236938278.71761963,2928081572.242201,0.0,0.0,0.0,0.0,0.0,0.0,28474921.71171313,0,0,0,0,7109185.607602227,6210739931.860078,5676147131.860073,0.0,0.0,505800000.0,0.0,0.0,28792800.0,0.0,26724307.277017873,0,0,0,0.0,0.0,537262673.8058971,0.0,Production:,61754330.322517954,1326111.6508555522,4465686.768213047,26017200.0,31045371.94937364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Representative_Days,2020,2020,5,4,Historical,0,0.0,1,True,1,0,1,0,14.951103210449219,Scen_0,0,7964783811.384981,1825428056.4108717,0.0,0.0,1216305600.0,365172296.3163967,243950160.09448096,2856697395.3562384,0.0,0.0,0.0,0.0,0.0,0.0,27780726.964014787,0,0,0,0,17796970.002340827,6139355754.97411,5604762954.974108,0.0,0.0,505800000.0,0.0,0.0,28792800.0,0.0,26724307.277017873,0,0,0,0.0,0.0,524164659.6983957,0.0,Production:,60248811.45958495,1425663.6583873008,4978113.627774138,26017200.0,31964119.50923472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
